"id","age","monthly_income","zip","credit_score","years_of_employment","dependents","approved"
0,20,11438.23,93135,398,21,1,0.0
1,18,4101.51,90936,607,30,4,1.0
2,43,14604.76,95983,674,16,2,1.0
3,32,9951.3,92910,318,10,4,1.0
4,34,6532.29,91999,480,30,2,1.0
5,30,12417.82,94703,545,9,1,1.0
6,38,9607.89,91396,539,27,2,1.0
7,42,8724.63,94024,606,36,4,1.0
8,31,7576.58,94977,775,11,5,1.0
9,28,11240.15,95571,321,7,3,0.0
10,26,4613.29,92805,415,37,3,0.0
11,25,5789.61,93106,612,28,4,0.0
12,33,10195.03,95917,842,5,3,1.0
13,45,8168.25,91708,844,21,1,1.0
14,38,11681.29,93504,818,7,4,1.0
15,27,13790.16,90489,447,44,2,0.0
16,31,6789.67,95262,646,18,2,1.0
17,21,17256.23,92988,640,15,3,0.0
18,22,7748.76,95110,306,26,2,0.0
19,24,12777.02,91529,365,18,4,0.0
20,29,16119.82,92606,743,10,1,0.0
21,18,11048.18,93373,810,30,4,1.0
22,39,8532.93,94259,684,35,3,1.0
23,30,13052.64,90435,574,6,3,1.0
24,38,9210.25,95522,305,35,5,1.0
25,19,8995.1,95969,505,19,3,0.0
26,39,4304.99,90983,656,10,4,1.0
27,40,4307.58,94603,310,13,3,1.0
28,20,11375.4,95378,657,10,1,0.0
29,29,5835.25,93876,662,3,4,0.0
30,18,6330.15,95425,515,11,5,1.0
31,29,13803.24,93935,403,19,5,0.0
32,24,9046.39,93983,716,20,1,0.0
33,40,11616.2,94457,530,27,3,1.0
34,29,5626.24,92913,407,17,4,0.0
35,40,7407.61,90638,823,31,2,1.0
36,34,9840.83,95301,303,42,4,1.0
37,30,11803.7,93612,700,17,3,1.0
38,34,11463.98,95137,448,6,1,1.0
39,30,12455.18,93975,645,29,5,1.0
40,37,9309.31,94952,571,37,4,1.0
41,24,6293.03,94477,526,41,3,0.0
42,35,16391.51,90594,834,42,5,1.0
43,36,14957.46,90242,338,27,1,1.0
44,29,18440.67,91817,805,8,1,0.0
45,26,5463.48,92957,385,34,5,0.0
46,45,15040.98,92337,710,1,1,1.0
47,44,5166.42,95032,626,6,3,1.0
48,29,11082.64,90655,449,3,2,0.0
49,44,12960.55,91811,698,11,2,1.0
50,37,7710.97,90198,507,26,1,1.0
51,22,10847.77,91425,826,11,1,0.0
52,23,15104.34,92830,429,36,2,0.0
53,22,6138.31,90819,378,36,5,0.0
54,40,10993.51,90779,663,33,4,1.0
55,28,6657.72,95199,724,38,5,0.0
56,29,16011.74,93550,528,16,2,0.0
57,23,16173.05,95522,816,25,2,0.0
58,23,9323.74,94880,607,42,5,0.0
59,26,9931.42,90998,636,23,2,0.0
60,34,14757.73,93930,652,42,3,1.0
61,35,8128.97,95543,485,33,2,1.0
62,25,14590.86,91293,721,16,4,0.0
63,19,7417.16,95862,795,12,4,0.0
64,44,7560.47,93354,725,32,1,1.0
65,19,11671.04,94764,309,2,1,0.0
66,45,6250.87,91834,357,3,2,1.0
67,18,9602.99,90127,802,11,5,1.0
68,32,13052.11,94520,706,20,3,1.0
69,44,9031.98,93350,848,28,2,1.0
70,38,8054.52,90374,506,27,2,1.0
71,38,10441.64,93506,847,10,1,1.0
72,32,12458.37,90890,590,24,4,1.0
73,32,10944.92,94367,349,19,4,1.0
74,31,14336.16,94588,470,36,4,1.0
75,21,8147.17,94225,481,25,1,0.0
76,31,10585.11,94681,618,7,4,1.0
77,32,9501.01,93643,711,3,2,1.0
78,27,7839.03,90655,318,38,1,0.0
79,29,13670.43,92214,315,12,5,0.0
80,21,11733.6,91709,544,20,2,0.0
81,41,11848.76,95652,554,14,1,1.0
82,41,1912.81,93298,337,27,1,1.0
83,23,11528.11,93622,336,31,1,0.0
84,31,10039.45,95471,659,19,3,1.0
85,41,8046.36,92469,579,35,1,1.0
86,22,8015.5,90840,594,33,3,0.0
87,27,7638.75,96095,321,34,4,0.0
88,20,5550.61,90076,594,10,2,0.0
89,33,10183.22,93228,324,35,2,1.0
90,30,4659.59,91477,669,9,3,1.0
91,39,12213.69,95316,613,14,4,1.0
92,31,5419.18,91107,521,36,3,1.0
93,31,10644.37,91631,636,8,1,1.0
94,32,19422.87,90793,731,3,3,1.0
95,31,11930.22,91841,576,33,2,1.0
96,42,11184.71,94024,579,6,5,1.0
97,28,7854.76,95517,649,24,4,0.0
98,35,3604.1,94086,768,3,4,1.0
99,40,7907.0,94852,776,29,2,1.0
100,34,11521.95,91476,397,28,4,1.0
101,31,10981.92,91112,798,17,4,1.0
102,39,10747.14,93948,758,4,3,1.0
103,37,9006.43,91218,663,20,1,1.0
104,42,17763.94,95905,467,2,2,1.0
105,43,10356.24,95891,533,4,2,1.0
106,22,13597.65,93442,505,39,1,0.0
107,25,10922.12,92484,585,12,5,0.0
108,30,8979.12,90172,778,7,3,1.0
109,42,5065.79,91501,678,34,1,1.0
110,26,10446.52,92743,592,33,3,0.0
111,27,7836.27,95824,500,13,3,0.0
112,32,3882.14,92251,737,29,3,1.0
113,37,10607.72,94649,480,10,5,1.0
114,35,12218.6,90554,553,18,5,1.0
115,30,10448.09,92962,551,6,1,1.0
116,23,10346.27,94575,638,37,2,0.0
117,36,7331.64,96060,530,34,3,1.0
118,26,7153.77,91004,808,17,1,0.0
119,29,5440.3,90030,553,28,5,0.0
120,41,6631.94,93592,461,21,2,1.0
121,24,10335.99,93916,577,34,4,0.0
122,22,9577.75,94567,438,7,4,0.0
123,38,16788.76,96011,430,44,5,1.0
124,30,13881.99,90854,390,7,5,1.0
125,35,9712.21,93204,847,14,5,1.0
126,44,13649.9,91908,500,20,2,1.0
127,42,6484.54,91818,311,21,3,1.0
128,25,14259.84,93912,514,29,2,0.0
129,27,14030.92,94561,675,24,1,0.0
130,35,12404.13,93541,819,33,4,1.0
131,34,12679.21,95168,656,45,3,1.0
132,32,13175.29,90242,450,14,4,1.0
133,32,9759.15,94590,346,4,1,1.0
134,26,9394.27,96058,432,20,2,0.0
135,39,3919.64,94873,592,28,5,1.0
136,27,4506.75,94922,504,12,2,0.0
137,29,13114.93,93317,505,26,4,0.0
138,35,8573.32,90413,362,36,3,1.0
139,19,12960.35,93149,304,20,5,0.0
140,28,8896.02,93957,557,25,3,0.0
141,25,7656.16,94883,552,44,5,0.0
142,32,14464.42,94991,607,45,2,1.0
143,32,18752.16,94577,661,24,1,1.0
144,26,13262.84,93294,383,29,3,0.0
145,39,6196.08,90576,408,18,4,1.0
146,43,10218.52,93414,724,18,1,1.0
147,21,6798.85,95332,629,37,3,0.0
148,35,16681.09,91738,502,14,5,1.0
149,30,6279.96,94475,772,32,4,1.0
150,33,6774.66,95887,424,5,2,1.0
151,26,9152.93,94536,664,20,5,0.0
152,20,16132.97,95623,369,27,2,0.0
153,29,8196.71,93411,638,2,2,0.0
154,20,6998.76,91945,420,33,3,0.0
155,38,6113.91,92882,554,27,5,1.0
156,23,9194.23,90208,795,20,2,0.0
157,23,17521.64,94422,364,42,4,0.0
158,26,10417.61,96105,395,37,5,0.0
159,31,11862.81,92021,529,33,5,1.0
160,33,9552.24,91166,812,4,4,1.0
161,33,10376.33,92751,803,17,2,1.0
162,37,13284.31,95875,673,42,4,1.0
163,20,11031.42,93307,717,40,1,0.0
164,28,8676.6,95844,846,35,2,0.0
165,20,8293.69,94199,467,33,5,0.0
166,20,3817.75,90615,827,8,4,0.0
167,26,4689.18,94309,838,8,2,0.0
168,18,13869.5,90699,664,4,5,1.0
169,35,5971.98,95379,667,42,5,1.0
170,27,4587.28,90945,485,44,5,0.0
171,18,12708.79,90778,803,25,1,1.0
172,26,7574.37,90197,721,31,3,0.0
173,23,14649.77,91340,715,31,5,0.0
174,30,14134.39,92046,585,18,4,1.0
175,28,12106.34,93621,480,41,5,0.0
176,37,10483.01,91544,398,14,2,1.0
177,22,3821.03,94581,476,44,4,0.0
178,28,11735.98,90795,499,11,3,0.0
179,28,6087.37,95799,518,8,3,0.0
180,22,14241.58,95983,620,40,4,0.0
181,42,6862.79,91696,453,4,5,1.0
182,40,5804.97,92965,412,39,3,1.0
183,32,10027.11,95349,656,36,3,1.0
184,45,12133.3,91526,816,8,1,1.0
185,39,17951.88,93887,361,42,4,1.0
186,25,9090.98,94426,721,16,5,0.0
187,36,13090.79,94666,621,16,1,1.0
188,27,8234.33,91270,622,35,4,0.0
189,23,8855.42,94054,702,44,2,0.0
190,31,8012.15,93306,355,16,2,1.0
191,35,2878.95,90747,305,4,3,1.0
192,27,4276.54,94859,674,21,1,0.0
193,23,8892.11,90722,689,22,5,0.0
194,39,9171.79,92446,391,24,3,1.0
195,36,10063.09,92535,433,9,4,1.0
196,24,8563.58,91146,798,5,4,0.0
197,30,16330.99,92486,387,32,4,1.0
198,35,8852.04,94011,464,42,2,1.0
199,24,5231.2,95730,688,33,3,0.0
200,26,7889.09,95532,504,13,5,0.0
201,18,7388.5,91973,429,44,4,1.0
202,29,17476.14,92747,665,15,5,0.0
203,30,10897.1,94889,544,17,5,1.0
204,27,16096.59,91298,616,31,2,0.0
205,30,11722.77,95977,314,20,2,1.0
206,39,12167.21,94862,455,10,1,1.0
207,36,4202.16,96029,754,24,1,1.0
208,24,15007.85,91658,376,25,4,0.0
209,31,9664.1,93679,679,41,3,1.0
210,37,16073.65,93405,467,5,3,1.0
211,22,12308.72,92540,584,25,2,0.0
212,31,6412.64,92651,536,42,5,1.0
213,18,14461.07,92563,846,40,5,1.0
214,19,6308.93,94234,769,4,3,0.0
215,30,10796.9,94669,316,43,4,1.0
216,24,8297.09,94240,687,3,5,0.0
217,24,3826.39,91418,404,7,5,0.0
218,29,10577.0,94665,473,15,2,0.0
219,23,3900.23,94910,394,3,2,0.0
220,29,6877.3,94098,461,16,3,0.0
221,34,12360.89,91834,309,18,2,1.0
222,39,5645.11,94752,759,23,3,1.0
223,25,6547.71,91471,674,6,2,0.0
224,43,13550.91,90415,749,26,2,1.0
225,18,14400.11,90811,481,39,5,1.0
226,23,17621.99,92462,425,12,1,0.0
227,35,12460.45,95283,467,11,4,1.0
228,41,8927.03,90291,834,6,3,1.0
229,45,4921.03,91382,784,42,2,1.0
230,22,9113.11,93014,768,19,4,0.0
231,36,10076.4,93183,421,41,3,1.0
232,35,11386.98,93137,461,37,1,1.0
233,29,8565.43,95818,723,5,2,0.0
234,45,11061.76,94505,647,32,3,1.0
235,27,15594.34,95361,474,39,2,0.0
236,20,11250.17,95326,771,36,4,0.0
237,31,12295.83,92640,813,44,3,1.0
238,25,17621.11,91755,663,45,2,0.0
239,31,9386.76,95836,792,19,1,1.0
240,43,12528.81,90548,591,4,4,1.0
241,35,10920.82,91160,797,29,4,1.0
242,19,13467.11,90464,417,45,1,0.0
243,34,11254.16,95858,548,20,2,1.0
244,32,5484.41,90555,843,32,3,1.0
245,23,13337.75,95940,504,36,5,0.0
246,34,15216.1,90586,388,26,2,1.0
247,44,5188.54,93468,419,35,5,1.0
248,38,12949.88,94386,821,19,5,1.0
249,27,12420.81,94344,320,9,1,0.0
250,34,12090.25,91752,700,44,2,1.0
251,25,11685.69,90305,789,3,4,0.0
252,41,3173.81,93137,635,10,2,1.0
253,20,12683.18,90347,677,35,3,0.0
254,34,7506.86,90957,388,7,2,1.0
255,41,8539.77,90360,385,42,5,1.0
256,20,14089.54,93433,365,7,4,0.0
257,27,3267.6,94184,568,25,3,0.0
