"id","age","monthly_income","zip","credit_score","years_of_employment","dependents","approved"
0,33,9610.91,94355,694,8,4,1.0
1,34,12696.74,90933,710,25,3,1.0
2,28,15800.29,93699,335,26,2,0.0
3,25,9723.07,90570,659,28,2,0.0
4,20,7545.02,91272,397,45,2,0.0
5,41,8034.12,90613,802,40,1,1.0
6,20,8898.36,95107,526,24,2,0.0
7,27,10442.65,95401,614,40,3,0.0
8,20,8806.06,90055,381,25,1,0.0
9,29,14353.75,95836,787,37,2,0.0
10,33,12480.16,92040,517,12,3,1.0
11,37,9874.93,91668,711,21,3,1.0
12,19,5685.43,90207,484,3,3,0.0
13,31,4646.41,94093,461,20,3,1.0
14,32,7897.87,95460,580,1,1,1.0
15,24,5294.06,91733,627,22,2,0.0
16,37,7846.45,93754,554,7,3,1.0
17,34,14124.01,91549,702,10,3,1.0
18,31,10246.0,94991,363,11,1,0.0
19,36,13379.16,90249,326,12,3,1.0
20,27,14243.76,90016,362,21,4,0.0
21,27,10038.05,92035,831,33,5,0.0
22,27,6765.27,94227,460,35,4,0.0
23,23,7506.63,92747,646,17,2,0.0
24,23,15107.31,91481,615,28,4,0.0
25,32,7726.62,92500,546,7,2,1.0
26,24,5256.43,91075,358,37,3,0.0
27,27,11285.9,95355,508,4,4,0.0
28,33,9462.85,92556,599,42,2,1.0
29,44,8769.3,93062,662,35,3,1.0
30,24,11385.16,90981,739,19,5,0.0
31,23,3592.84,95394,404,19,2,0.0
32,39,13766.01,95042,340,10,5,1.0
33,27,2413.43,93636,705,15,3,0.0
34,39,7878.1,92617,760,43,3,1.0
35,37,16768.26,92397,690,3,2,1.0
36,28,9291.31,94319,531,45,4,0.0
37,26,6740.05,96074,716,19,1,0.0
38,37,2704.12,94672,534,34,3,1.0
39,31,11713.92,90812,338,15,1,1.0
40,23,6090.85,91541,691,2,4,0.0
41,28,9226.48,92990,436,20,3,0.0
42,21,12856.15,94365,696,19,5,0.0
43,44,6916.59,95507,784,27,2,1.0
44,21,8214.49,95591,788,2,5,0.0
45,34,9291.1,95994,471,17,4,1.0
46,45,7221.14,92308,362,3,1,1.0
47,45,11266.9,92789,456,29,2,1.0
48,32,9621.47,90508,761,31,4,1.0
49,32,13023.52,95383,643,13,1,1.0
50,44,5439.59,95065,304,41,1,1.0
51,22,12031.49,91188,300,20,5,0.0
52,19,15700.79,90852,732,29,1,0.0
53,36,3177.11,94149,756,11,2,1.0
54,25,16038.8,92080,699,29,1,0.0
55,30,8463.93,91132,677,9,4,1.0
56,36,13893.79,94810,626,23,1,1.0
57,39,6414.06,93503,421,15,1,1.0
58,18,13287.7,91791,830,26,2,0.0
59,21,13571.09,94509,424,23,5,0.0
60,20,8322.97,92862,410,15,1,0.0
61,32,10083.13,94174,400,44,5,1.0
62,20,12648.65,90823,820,17,2,0.0
63,24,13210.41,91695,504,6,2,0.0
64,45,4376.02,92670,688,3,4,1.0
65,25,15419.36,91586,733,34,3,0.0
66,23,9634.66,93365,739,15,5,0.0
67,30,6625.8,90600,596,25,1,1.0
68,19,7362.21,90664,843,33,4,0.0
69,33,10706.04,95898,501,4,5,1.0
70,34,7091.44,95251,400,1,5,1.0
71,24,11278.32,92383,408,26,4,0.0
72,31,14112.73,94137,598,30,3,1.0
73,29,14269.76,91675,561,40,3,0.0
74,29,12905.61,96064,567,44,4,0.0
75,22,9232.45,90698,847,18,3,0.0
76,30,11668.39,95911,611,42,5,1.0
77,24,5806.14,91572,323,7,3,0.0
78,31,12178.91,95320,718,18,2,1.0
79,23,12686.44,91134,584,7,4,0.0
80,29,11489.77,93026,575,14,4,0.0
81,40,5662.17,93577,764,29,4,1.0
82,21,12939.28,90712,563,5,2,0.0
83,37,12856.35,94560,494,39,2,1.0
84,31,5058.97,94014,609,8,3,1.0
85,22,7016.29,95473,407,10,1,0.0
86,33,7305.87,92413,826,27,3,1.0
87,44,12376.65,95215,520,41,1,1.0
88,42,18717.97,95168,681,37,2,1.0
89,30,9472.92,92905,721,30,3,1.0
90,45,9910.33,91132,615,45,1,1.0
91,20,9086.8,93789,820,16,2,0.0
92,22,3068.43,95680,777,7,4,0.0
