"id","age","monthly_income","zip","credit_score","years_of_employment","dependents","approved"
0,40,7372.06,93803,612,34,3,1.0
1,31,2918.2,90816,766,9,5,0.0
2,20,5953.03,95765,416,40,4,0.0
3,33,9416.92,95191,425,26,3,1.0
4,26,8430.02,91555,419,16,1,0.0
5,41,3132.46,90161,719,37,1,0.0
6,36,5750.47,92105,302,15,4,0.0
7,38,7733.08,90559,554,25,3,1.0
8,23,8269.43,91219,709,10,1,0.0
9,32,6532.02,93032,549,32,1,1.0
10,18,2780.67,92014,303,40,3,0.0
11,37,7830.67,92857,658,17,3,1.0
12,22,8410.25,90295,565,1,1,0.0
13,29,9473.31,93028,432,5,1,0.0
14,22,4125.57,94021,601,9,2,0.0
15,34,7303.13,94829,355,26,1,1.0
16,34,3001.54,95153,610,37,4,0.0
17,39,8642.29,93748,391,23,3,1.0
18,18,7210.37,93647,685,36,1,0.0
19,24,9330.32,93760,477,30,1,0.0
20,33,7425.8,90761,565,5,5,1.0
21,21,9932.83,93792,354,24,4,0.0
22,35,3124.44,93196,755,39,3,0.0
23,32,8118.31,92749,425,40,4,1.0
24,31,7845.58,93736,843,26,1,1.0
25,44,4756.25,94610,481,23,3,0.0
26,20,5101.26,90386,647,45,4,0.0
27,18,9037.5,93420,661,14,2,0.0
28,38,8897.36,92226,626,8,5,1.0
29,26,9586.56,93392,565,4,4,0.0
30,28,10318.89,91421,395,18,4,0.0
31,23,13101.04,93757,529,8,5,0.0
32,19,3989.64,94698,338,36,1,0.0
33,36,6171.95,95518,332,17,4,1.0
34,33,11831.5,91592,484,41,1,1.0
35,26,5781.64,93051,415,35,5,0.0
36,35,4862.96,93798,549,38,3,0.0
37,36,7717.99,92349,376,1,4,1.0
38,24,4622.3,93877,519,8,3,0.0
39,28,3198.91,94928,792,37,2,0.0
40,29,4011.98,91502,344,22,5,0.0
41,29,5500.11,95136,511,25,3,0.0
42,25,8209.1,91727,668,9,1,0.0
43,23,12560.91,93774,476,37,1,0.0
44,27,11604.22,94149,345,43,3,0.0
45,34,6366.19,96073,386,21,2,1.0
46,32,11993.15,93350,306,14,3,1.0
47,25,4203.11,92656,319,27,4,0.0
48,27,7366.84,93007,472,5,3,0.0
49,40,7532.43,91368,744,26,5,1.0
50,30,7812.06,94731,714,26,3,1.0
51,28,10055.03,94272,339,17,1,0.0
52,26,5811.26,91412,599,4,5,0.0
53,30,6141.22,92831,394,14,3,1.0
54,40,9175.1,94315,778,5,4,1.0
55,31,3849.28,94525,632,33,1,0.0
56,27,8515.31,93897,791,40,2,0.0
57,43,5282.65,90563,633,18,2,0.0
58,27,7587.56,94409,562,29,1,0.0
59,31,9861.13,90391,760,9,2,1.0
60,33,12615.49,90370,672,42,2,1.0
61,45,6275.82,95163,787,6,4,1.0
62,30,5180.29,94626,814,30,2,0.0
63,35,5588.12,90308,764,4,1,0.0
64,32,6410.05,95087,550,45,2,1.0
65,40,5548.09,92383,331,16,1,0.0
66,22,1909.87,91660,615,21,5,0.0
67,30,10740.99,95654,456,19,4,1.0
68,26,7713.2,94840,467,6,1,0.0
69,24,1971.9,94582,610,2,1,0.0
70,31,5900.65,91557,785,21,2,0.0
71,32,5330.02,91363,718,3,2,0.0
72,20,6653.59,94700,825,42,3,0.0
73,31,10294.93,94508,672,35,2,1.0
74,36,2470.8,90021,407,14,3,0.0
75,34,9610.5,90862,409,21,2,1.0
76,39,9249.24,94935,586,14,3,1.0
77,31,11198.4,92276,585,23,1,1.0
78,27,4724.63,92728,809,10,1,0.0
79,28,7632.07,90479,548,25,5,0.0
80,21,1344.2,94180,310,26,1,0.0
81,40,5644.37,95252,692,21,2,0.0
82,31,6404.85,95916,752,11,3,1.0
83,31,7415.02,93960,558,9,5,1.0
84,27,4663.43,91745,301,3,5,0.0
85,36,4362.73,90435,574,1,1,0.0
86,26,1265.12,95690,369,35,2,0.0
87,29,3240.0,90446,332,33,4,0.0
88,22,9150.59,91417,715,35,1,0.0
89,27,10213.67,91778,323,20,1,0.0
90,41,4036.72,93213,382,39,1,0.0
91,45,4285.33,95010,798,18,5,0.0
92,40,11564.36,93109,619,23,2,1.0
93,22,7385.14,95748,749,45,3,0.0
94,25,4566.21,90662,568,15,3,0.0
95,25,8599.74,90740,545,42,5,0.0
96,22,2826.96,93103,587,41,3,0.0
97,24,2484.96,93322,624,33,2,0.0
98,20,11055.85,92053,528,41,2,0.0
99,36,6692.7,93139,628,7,2,1.0
100,36,1478.79,92127,358,28,1,0.0
101,35,12020.35,95284,736,2,1,1.0
102,29,9296.49,91318,793,10,2,0.0
103,31,4020.94,95773,528,20,2,0.0
104,27,1960.58,92563,797,20,4,0.0
105,33,7043.54,96151,358,17,4,1.0
106,23,4325.67,93808,628,5,2,0.0
107,28,5689.86,92295,581,27,2,0.0
108,37,4771.91,93281,689,8,1,0.0
109,24,7024.43,94454,793,40,5,0.0
110,23,8291.5,91197,649,18,5,0.0
111,21,4131.27,94782,561,8,1,0.0
112,41,9985.91,94466,316,43,2,1.0
113,34,6042.83,90025,739,5,4,1.0
114,24,3323.9,95382,490,12,4,0.0
115,32,5451.95,96044,530,7,4,0.0
116,44,9330.84,94476,743,35,4,1.0
117,41,4302.02,95672,840,21,3,0.0
118,28,8182.82,91602,322,10,1,0.0
119,20,7743.45,90379,764,14,3,0.0
120,39,8208.61,90617,568,43,4,1.0
121,23,6008.54,90524,364,11,1,0.0
122,40,1264.05,92100,387,24,1,0.0
123,42,2597.14,91055,650,9,2,0.0
124,36,8827.09,94214,721,16,4,1.0
125,27,5884.45,94155,506,23,3,0.0
126,30,6311.5,91461,464,35,5,1.0
127,19,5273.96,91333,564,31,3,0.0
128,32,8447.89,95605,691,22,5,1.0
129,36,4440.51,95258,585,39,2,0.0
130,24,8747.51,95341,665,28,4,0.0
131,30,1934.04,95457,347,34,1,0.0
132,33,10053.06,95545,684,12,5,1.0
133,25,3583.54,94102,489,5,3,0.0
134,26,6947.65,93527,390,3,4,0.0
135,37,5857.23,91420,722,20,3,0.0
136,23,5757.92,93833,660,12,5,0.0
137,38,5967.22,93261,494,18,3,0.0
138,39,6057.98,94777,491,3,2,1.0
139,32,9223.77,94695,454,11,2,1.0
140,26,8895.05,93256,640,19,1,0.0
141,22,7663.25,92306,730,32,1,0.0
142,20,1622.87,91297,844,28,5,0.0
143,30,6508.57,93492,667,5,3,1.0
144,40,4953.36,92051,543,35,4,0.0
145,40,5104.2,93853,636,2,4,0.0
146,29,8870.17,93886,362,41,1,0.0
147,43,6390.86,91528,590,14,4,1.0
148,34,2971.64,95275,657,9,5,0.0
149,27,1720.45,95015,632,8,3,0.0
150,39,5286.81,95159,848,38,4,0.0
151,31,9002.3,94512,784,37,3,1.0
152,37,13514.16,90866,661,14,5,1.0
153,18,6909.96,91524,429,36,1,0.0
154,25,4664.05,91929,330,9,2,0.0
155,27,4569.02,95504,830,2,2,0.0
156,37,7127.89,90608,554,42,4,1.0
157,20,5894.81,94424,723,23,3,0.0
158,31,2707.21,93927,844,1,1,0.0
159,43,3709.13,95930,353,44,3,0.0
160,37,11687.94,95548,771,31,5,1.0
161,42,8552.72,91154,505,8,3,1.0
162,26,7038.14,95304,402,39,1,0.0
163,39,5396.28,92000,403,15,2,0.0
164,24,6424.23,91244,672,22,5,0.0
165,24,10089.64,93574,738,29,2,0.0
166,30,5689.76,92800,520,31,2,0.0
167,30,6027.39,95494,497,34,1,1.0
168,36,7587.3,94691,500,9,5,1.0
169,41,8748.7,93249,753,8,1,1.0
170,25,5468.22,93485,784,13,4,0.0
171,33,4351.58,95314,303,41,4,0.0
172,27,8720.59,91690,520,3,2,0.0
173,18,9292.09,93115,739,39,4,0.0
174,38,4051.05,95728,493,1,4,0.0
175,27,4339.82,94740,678,27,2,0.0
176,33,7979.95,90604,600,13,2,1.0
177,20,5906.43,92104,391,13,5,0.0
178,27,8765.06,94703,784,25,4,0.0
179,30,8400.06,91729,666,10,5,1.0
180,18,6136.92,94226,775,10,5,0.0
181,38,2695.19,90115,496,8,1,0.0
182,30,9537.35,90313,840,13,1,1.0
183,31,7803.47,90840,782,34,1,1.0
184,30,6835.34,90266,570,8,2,1.0
185,27,2618.95,93653,681,4,1,0.0
186,30,1838.59,91876,569,21,1,0.0
187,34,8579.87,90973,482,20,3,1.0
188,29,6617.25,94761,831,14,2,0.0
189,35,3887.54,93693,419,3,5,0.0
